2019/08/22 10:59:10.451 [D] [server.go:2694] ::1 - - [22/Aug/2019 10:59:10] "GET /as/login HTTP/1.1 200 0" 0.012000 http://localhost:8111/as/sys/base Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

2019/08/22 10:59:10.531 [D] [server.go:2694] ::1 - - [22/Aug/2019 10:59:10] "GET /static/back/css/common.css HTTP/1.1 200 0" 0.001000 http://localhost:8111/as/login Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

2019/08/22 10:59:10.533 [D] [server.go:2694] ::1 - - [22/Aug/2019 10:59:10] "GET /static/layui/layui.js HTTP/1.1 200 0" 0.000000 http://localhost:8111/as/login Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

2019/08/22 10:59:10.540 [D] [server.go:2694] ::1 - - [22/Aug/2019 10:59:10] "GET /captcha/KI1Ts2Eq4FS8BmM.png HTTP/1.1 200 0" 0.007000 http://localhost:8111/as/login Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

2019/08/22 10:59:10.543 [D] [server.go:2694] ::1 - - [22/Aug/2019 10:59:10] "GET /static/layui/css/layui.css HTTP/1.1 200 0" 0.013000 http://localhost:8111/as/login Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

2019/08/22 10:59:10.544 [D] [server.go:2694] ::1 - - [22/Aug/2019 10:59:10] "GET /static/back/js/md5.min.js HTTP/1.1 200 0" 0.000000 http://localhost:8111/as/login Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

2019/08/22 10:59:10.550 [D] [server.go:2694] ::1 - - [22/Aug/2019 10:59:10] "GET /static/back/js/jsencrypt.min.js HTTP/1.1 200 0" 0.006000 http://localhost:8111/as/login Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

2019/08/22 10:59:10.581 [D] [server.go:2694] ::1 - - [22/Aug/2019 10:59:10] "GET /static/layui/font/iconfont.woff?v=240 HTTP/1.1 200 0" 0.000000 http://localhost:8111/static/layui/css/layui.css Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

2019/08/22 10:59:10.613 [D] [server.go:2694] ::1 - - [22/Aug/2019 10:59:10] "GET /static/layui/lay/modules/layer.js HTTP/1.1 200 0" 0.001000 http://localhost:8111/as/login Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

2019/08/22 10:59:10.613 [D] [server.go:2694] ::1 - - [22/Aug/2019 10:59:10] "GET /static/back/js/md5.min.js.map HTTP/1.1 200 0" 0.000000  Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

2019/08/22 10:59:10.625 [D] [server.go:2694] ::1 - - [22/Aug/2019 10:59:10] "GET /static/layui/css/modules/layer/default/layer.css?v=3.1.1 HTTP/1.1 200 0" 0.000000 http://localhost:8111/as/login Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

2019/08/22 10:59:10.627 [D] [server.go:2694] ::1 - - [22/Aug/2019 10:59:10] "GET /static/layui/lay/modules/jquery.js HTTP/1.1 200 0" 0.002000 http://localhost:8111/as/login Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

2019/08/22 10:59:10.735 [D] [server.go:2694] ::1 - - [22/Aug/2019 10:59:10] "GET /static/layui/lay/modules/form.js HTTP/1.1 200 0" 0.000000 http://localhost:8111/as/login Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

2019/08/22 10:59:11.613 [D] [server.go:2694] ::1 - - [22/Aug/2019 10:59:11] "GET /static/layui/css/modules/layer/default/loading-0.gif HTTP/1.1 200 0" 0.000000 http://localhost:8111/static/layui/css/modules/layer/default/layer.css?v=3.1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

2019/08/22 10:59:11.640 [W] [login.go:114] LoginController Post from ip: ::1 username: admin 
2019/08/22 10:59:11.641 [D] [server.go:2694] ::1 - - [22/Aug/2019 10:59:11] "POST /as/login HTTP/1.1 200 0" 0.013000 http://localhost:8111/as/login Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

2019/08/22 10:59:11.652 [D] [server.go:2694] ::1 - - [22/Aug/2019 10:59:11] "GET /static/layui/css/modules/layer/default/icon.png HTTP/1.1 200 0" 0.001000 http://localhost:8111/static/layui/css/modules/layer/default/layer.css?v=3.1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

2019/08/22 10:59:12.685 [D] [server.go:2694] ::1 - - [22/Aug/2019 10:59:12] "GET /as/sys/base HTTP/1.1 200 0" 0.026000 http://localhost:8111/as/login Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

2019/08/22 10:59:12.704 [D] [server.go:2694] ::1 - - [22/Aug/2019 10:59:12] "GET /static/back/css/common.css HTTP/1.1 200 0" 0.001000 http://localhost:8111/as/sys/base Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

2019/08/22 10:59:12.704 [D] [server.go:2694] ::1 - - [22/Aug/2019 10:59:12] "GET /static/layui/layui.js HTTP/1.1 200 0" 0.000000 http://localhost:8111/as/sys/base Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

2019/08/22 10:59:12.709 [D] [server.go:2694] ::1 - - [22/Aug/2019 10:59:12] "GET /static/layui/css/layui.css HTTP/1.1 200 0" 0.007000 http://localhost:8111/as/sys/base Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

2019/08/22 10:59:12.756 [D] [server.go:2694] ::1 - - [22/Aug/2019 10:59:12] "GET /as/sys/index HTTP/1.1 200 0" 0.029000 http://localhost:8111/as/sys/base Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

2019/08/22 10:59:12.761 [D] [server.go:2694] ::1 - - [22/Aug/2019 10:59:12] "GET /static/layui/lay/modules/element.js HTTP/1.1 200 0" 0.003000 http://localhost:8111/as/sys/base Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

2019/08/22 10:59:12.775 [D] [server.go:2694] ::1 - - [22/Aug/2019 10:59:12] "GET /static/layui/font/iconfont.woff?v=240 HTTP/1.1 200 0" 0.001000 http://localhost:8111/static/layui/css/layui.css Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

2019/08/22 10:59:12.804 [D] [server.go:2694] ::1 - - [22/Aug/2019 10:59:12] "GET /static/layui/lay/modules/jquery.js HTTP/1.1 200 0" 0.003000 http://localhost:8111/as/sys/base Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

2019/08/22 10:59:14.060 [D] [server.go:2694] ::1 - - [22/Aug/2019 10:59:14] "GET /as/votedetail HTTP/1.1 200 0" 0.023000 http://localhost:8111/as/sys/base Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

2019/08/22 10:59:14.079 [D] [server.go:2694] ::1 - - [22/Aug/2019 10:59:14] "GET /static/back/js/admin.js?a=phagevoteapi HTTP/1.1 200 0" 0.001000 http://localhost:8111/as/votedetail Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

2019/08/22 10:59:14.117 [D] [server.go:2694] ::1 - - [22/Aug/2019 10:59:14] "GET /static/layui/lay/modules/layer.js HTTP/1.1 200 0" 0.001000 http://localhost:8111/as/votedetail Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

2019/08/22 10:59:14.141 [D] [server.go:2694] ::1 - - [22/Aug/2019 10:59:14] "GET /static/layui/css/modules/layer/default/layer.css?v=3.1.1 HTTP/1.1 200 0" 0.001000 http://localhost:8111/as/votedetail Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

2019/08/22 10:59:14.144 [D] [server.go:2694] ::1 - - [22/Aug/2019 10:59:14] "GET /static/layui/lay/modules/jquery.js HTTP/1.1 200 0" 0.003000 http://localhost:8111/as/votedetail Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

2019/08/22 10:59:14.169 [D] [server.go:2694] ::1 - - [22/Aug/2019 10:59:14] "GET /static/layui/lay/modules/element.js HTTP/1.1 200 0" 0.001000 http://localhost:8111/as/votedetail Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

